"","text","sentiment"
"1","   learnt  travelling  south korea   pandemic  ","negative"
"2","bighitter  read     idiot   travelling   pandemic               shut  fuck  lol","negative"
"3","  tfwrail train  travelling  birmingham  holyhead    carriages  jammed  people  toilets          global pandemic    strain spreading    poor service  dangerously irresponsible","negative"
"4","mattgallowaycbc  call  thick    travelling   pandemic    leaders  exacting  example  taking stringent steps  halt  spread  closing boarders instead  implanting useless amp chaotic rules guess  leadership     ","negative"
"5","celinegounder  testing requirements  travelling   pandemic  incubation period   short people   tested negative hours     time  boarded  flight  test positive celinegounder","negative"
"6","booshmeister    oh  dont      mid size suvs   set     ltpickup truckgt yeah im travelling    cargo     rain compact suv     jetta reserved  month  advance pre pandemic   ","neutral"
"7","bd sabcnews enca hey cyril     job   vax salesman  travelling  tax payers money peddling   pandemic vax    phuktard dicktator mates","neutral"
"8","byoung wholemarsblog omicron   spread    vaccinated travelling individuals  countries  don allow unvaccinated  travel  narrative  unvaccinated causing  pandemic   stop  society digests ","neutral"
"9","travelling   pandemic  fcking simpathy   ","negative"
"10","telegraphtravel travelling   pandemic  fcking simpathy  ","negative"
"11","pilgrimfarms cchisu cbcnews    choice  wasnt due   lack  health care  canada   original comment  inferring people travelling   pandemic    prepared   eventualities bitching    follow  guidelines coming home  ridiculous","negative"
"12","girlwestcoast masamonae globalnews travelling   third world country  africa   pandemic  severe dietary health issuesyeah okay sympathy lost","neutral"
"13","birlios    privilege  travelling internationally   global pandemic    nations grounded  whined   precautions      safe","negative"
"14"," weeks ago travelling   pandemic  crazy annoying    booking hotels  train seats","negative"
"15","birlios iananywhere yup  ve     spend        country    travelling    middle covid   near    pandemic  accepting  risks","negative"
"16","   hold  country accountable financially   massive virus pandemicnot speaking  sooner etc   human   accrue  suffer  costs ppl   robbed paying   teststravelling etcamppoorest wno phones etc sufferagainthe ","negative"
"17","piersmorgan  mean    kept shrieking  people travelling   pandemic    holiday yourself twice   pandemic    kept shrieking  mass gathering     football  people youre   virtue signaling mouthpiece","negative"
"18","wbuxtonofficial focus   travelling     pandemic   huge bonus   book   traveling   mail reason  spreads   doing    actually helling   pandemic","negative"
"19","   au pair travelling  germany  wales   pandemic    community  cold water dipping wildswimming ","negative"
"20"," flexibility   anytime  especially   travelling   pandemic     ","neutral"
"21","fairyfairhurst realdenisewelch   own fault  travelling     middle   pandemic maybe shes learned  lesson ","negative"
"22","bbcbreakfast bbcpolitics  travelling abroad   pandemic    necessity   people     ","negative"
"23","  stop  gayz travelling   global pandemic    plane tickets  vinyls  love      solely responsible   travel industry economy  ","negative"
"24","jewelsdoyle  spouted       travelling   pandemic ","negative"
"25","wbuxtonofficial        travelling   pandemic","negative"
"26","hey redhunttravel   tell   started   travel company     else    fun   middle   pandemic hope  actually start travelling     catch   ","negative"
"27","mental   government  profiting   pandemic       test   uk  fine   send    free     re travelling    buy   test kit   friends randox  multiple mps   stake ","negative"
"28","telegraphtravel telegraph  justified  complain  social costs  travel   type  increasedbroader spread   pandemic   internalised   individuals travelling testing helps reduce  social costs  actually  sort  travel offset tax  ","negative"
"29","leechih globaltimesnews wta  happened   travelling  hubei   don      hubei   tourism  million people  died   global pandemic     controlled  ground zero  beijing intentionally     cash   ppe monster","neutral"
"30","ahindinews donanantsingh   bjp central govt failure  country  facing pandemic rises shame  modi govt bjp govt didnt closed airports  allowed travelling passengers  enter   testing  govt     bjp central govt  busy witj elections campaigning","negative"
"31","travelling   international pandemic      fainthearted packs traveltuesday   socialmedia","negative"
"32","mlarksmith im    crazy  traveling   pandemic maybe   reach  safe stage    ill   travelling  home","negative"
"33","cant believe  am actually travelling outside bangalore   st time   pandemic  time  teach  bunch  super enthusiastic pg diploma applied theatre students  appliedindia appliedtheatre theatreineducation appliedtheatreinindia pandemictravel","neutral"
"34","andrewt morning andy   understand  discomfort  travelling   busy train customer safety  remained  top priority  ours throughout  pandemic   continue     transform  wales  borders network    run services   wasnt safe   soned","negative"
